country,year,gdp_growth,growth_change,gdp_rolling_avg,cumulative_growth,growth_category
FSM,2020,-1.672941,0.9128749999999999,-2.4830466666666666,-6.320348,Negative Growth
GAB,2010,7.089887,,7.089887,7.089887,High Growth
GAB,2018,0.837917,-6.25197,3.963902,7.927804,Low Growth
GAB,2023,2.438937,1.60102,3.4555803333333337,10.366741000000001,Moderate Growth
GBR,2011,0.851438,,0.851438,0.851438,Low Growth
GBR,2012,1.52826,0.6768219999999999,1.189849,2.379698,Low Growth
GBR,2014,3.160174,1.631914,1.846624,5.539872,Moderate Growth
GBR,2017,3.023222,-0.13695199999999996,2.5705519999999997,8.563094,Moderate Growth
GBR,2018,1.551331,-1.471891,2.5782423333333333,10.114425,Low Growth
GBR,2019,1.256299,-0.29503199999999996,1.9436173333333333,11.370724,Low Growth
GEO,2010,6.246409,,6.246409,6.246409,High Growth
GEO,2023,7.832201,1.5857920000000005,7.039305000000001,14.078610000000001,High Growth
GHA,2009,4.844487,,4.844487,4.844487,Moderate Growth
GHA,2010,7.899712,3.055225,6.3720995,12.744199,High Growth
GHA,2017,8.128895,0.22918299999999991,6.957698000000001,20.873094000000002,High Growth
GHA,2023,3.140091,-4.988804,6.389565999999999,24.013185,Moderate Growth
GIN,2009,-1.122642,,-1.122642,-1.122642,Negative Growth
GIN,2017,10.300005,11.422647000000001,4.5886815,9.177363,High Growth
GMB,2010,5.908336,,5.908336,5.908336,Moderate Growth
GMB,2018,7.23489,1.3265539999999998,6.571613,13.143226,High Growth
GMB,2023,5.916796,-1.3180940000000003,6.353340666666667,19.060022,Moderate Growth
GNB,2009,2.447951,,2.447951,2.447951,Moderate Growth
GNB,2017,4.663679,2.215728,3.555815,7.11163,Moderate Growth
GNQ,2018,-6.236544,,-6.236544,-6.236544,Negative Growth
GRC,2009,-4.119276,,-4.119276,-4.119276,Negative Growth
GRC,2010,-5.693741,-1.574465,-4.9065085,-9.813017,Negative Growth
GRC,2017,1.473125,7.166866000000001,-2.779964,-8.339892,Low Growth
